"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"doc_id","吴树文1","吴树文2","吴树文3","曹曼1","曹曼2","曹曼3","杨爽1","杨爽2","杨爽3","林少华1","林少华2","林少华3","谭晶华徐建雄1","谭晶华徐建雄2","谭晶华徐建雄3","郑民钦1","郑民钦2","郑民钦3"
"但是","27","29","18","29","24","20"," 0"," 2"," 0"," 4"," 2"," 0"," 2"," 1"," 2","31","20","13"
"而","56","49","43"," 8"," 5"," 4","29","18","24","60","58","48","45","41","34","27","10","16"
"就"," 61"," 62"," 33"," 45"," 49"," 35"," 74"," 69"," 48"," 39"," 41"," 27","119","128"," 70"," 83"," 72"," 40"
"虽然"," 8"," 2"," 2"," 7"," 6"," 7"," 5"," 9","11"," 8"," 5"," 1"," 2"," 2"," 1"," 7"," 8"," 3"
"同","18","26","11"," 3"," 6"," 0"," 5"," 3"," 0","14","14"," 5"," 3"," 4"," 1"," 2"," 2"," 0"
"即使"," 9"," 1"," 5"," 3"," 8"," 2"," 0"," 3"," 1","14"," 7"," 4"," 0"," 0"," 0","10","12"," 2"
"所以","21","18","11","15","12"," 8","30","27","19","16","12"," 3","18","13"," 6","25","25","14"
"不及","1","2","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0"
"若"," 3","14"," 6"," 1"," 1"," 0"," 5"," 3"," 1"," 9","21"," 6"," 1"," 4"," 0"," 4"," 4"," 0"
"然而"," 5"," 8"," 5"," 0"," 2"," 0"," 8"," 6"," 1"," 1"," 7"," 5","14","13","10","10","13","10"
"如"," 7"," 6"," 6"," 6"," 4"," 5"," 6"," 6"," 8","12","12"," 6"," 6"," 5"," 2"," 8"," 5"," 4"
"及","5","6","7","2","1","2","1","3","0","2","2","1","2","1","0","4","0","0"
"抑","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"和","27","27","14","14","14","15","30","47","31","27","27","21"," 9","19"," 8","13","19","16"
"似乎","4","2","2","1","0","1","9","6","2","6","6","4","9","5","7","7","9","5"
"由于"," 6"," 4"," 4"," 2"," 2"," 2"," 1"," 3"," 0"," 5"," 3"," 3","17","15","14"," 8"," 7"," 5"
"或"," 6","11"," 2"," 2"," 8"," 2","10"," 4"," 3","10","11"," 4"," 8","12"," 6"," 4"," 1"," 0"
"不过","20"," 7"," 8"," 2"," 2"," 1"," 5"," 3"," 0"," 9","10"," 9"," 3"," 3"," 1","12","12"," 6"
"却"," 6","14"," 7","12","20"," 6","14","14"," 9"," 7","10"," 6","11","17","18","19","11","11"
"因此","10"," 9"," 7"," 2","11"," 4"," 2"," 4"," 1"," 2"," 4"," 4","14","15","15"," 6"," 8"," 2"
"固然","2","1","0","0","0","0","1","2","0","1","4","2","1","4","0","0","4","1"
"因为","12","13"," 9","17","14"," 8","11","12","16","10","11"," 7","11","17","12","10","13","14"
"一般"," 4"," 5"," 2"," 4"," 4"," 3"," 6","11"," 7"," 7"," 8"," 0","10"," 8"," 4"," 3"," 7"," 3"
"像"," 1"," 0"," 0","16","17"," 8","15","11"," 9"," 9"," 4"," 2","15","16","10","10"," 9"," 5"
